ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,"Dilaporkan ke Polisi, Ini Permohonan Maaf Felicya Angelista",341,0,700,38.88888889,31.06262231
facebook / cpc,Reza Artamevia Dianggap 'Cuci Tangan' dengan Laporkan Gatot,269,0,691,0,18.13309353
facebook / cpc,"Messi Berjaket Go-Jek, Isyana Kini Jadi 'Korban' Dede Sunandar",108,16.66666667,673,12.46296296,17.28343949
facebook / cpc,"Sys NS, Seniman yang Serba Bisa",512,0,673,0,74.89840637
facebook / cpc,Foto: Utak-atik Posisi Main Alexis Sanchez di MU,117,20,664,14.75555556,85.14262295
facebook / cpc,"Selain Pasha 'Ungu', Artis Pria Indonesia Ini Juga Tampil dengan Rambut Man Bun",72,0,655,0,28.44918033
facebook / cpc,Foto dan Video Ini Bukan karena Gempa Banten,584,60,646,14.35555556,165
facebook / cpc,Foto: 11 Pemain dengan Gaji Tertinggi di Premier League,81,0,646,23.92592593,33.50582363
facebook / cpc,"Dinilai Lecehkan TNI di Acara Dahsyat, Artis Felicya Dipolisikan",512,33.33333333,637,23.59259259,5.535472973
facebook / cpc,Polisi Pelajari Laporan Artis Felicya yang Dinilai Lecehkan TNI,602,66.66666667,619,22.92592593,77.32541568
facebook / cpc,"Tergeletak di Ruang Tamu, Anak Sebut Sys NS Kena Serangan Jantung",63,0,610,0,9.660472973
facebook / cpc,Foto: 15 Bukti Belanja Baju Online Tak Selalu Berujung Bahagia,54,0,602,0,16.75088339
facebook / cpc,"Foto: Jelang 100 Hari Kepemimpinan Anies-Sandi, Ini Kebijakannya",108,22.22222222,557,6.87654321,44.6902834
facebook / cpc,Penampakan Rumah di Lebak yang Rusak Akibat Gempa Banten,126,100,557,61.88888889,35.31174089
facebook / cpc,Foto: Penampilan Perdana Sanchez dalam Kostum 'Setan Merah',135,0,539,59.88888889,16.27148438
facebook / cpc,Okie Agustina Jelaskan Bagaimana Pantau Pergaulan Keisha Alvaro,9,0,530,0,5.437735849
facebook / cpc,Komentar : Sultan Brunei Laporkan Kasus Pencemaran Nama Baik ke Polda Metro,467,50,521,28.94444444,53.61574074
facebook / cpc,"Sys NS Meninggal Dunia, Anak Ungkapkan Kesedihan",153,50,494,13.72222222,7.174672489
facebook / cpc,"50 Tahun Bertakhta, Sultan Brunei Keliling Naik Kereta Kencana Emas",458,0,485,0,198.8787879
facebook / cpc,"Gempa 6,4 SR Guncang Ibu Kota",377,0,485,0,249.559387
facebook / cpc,Sahabat Sebut Sys NS Sebagai Malaikat Pencabut Nyawa,260,0,485,0,7.325481799
facebook / cpc,"Sudah Dijodohkan Ibunda, Kiki Farel Cari Cewek yang Cantik dan Tinggi",162,0,485,0,15.82566586
facebook / cpc,Kerennya Foto Editan Para Master Photoshop,36,0,467,25.94444444,28.21818182
facebook / cpc,"Deretan Casing Ponsel yang Unik, Lucu, Keren, Hingga Aneh",27,0,458,0,16.05458515
facebook / cpc,Laudya Cynthia Bella Dilaporkan ke Polres Bandung,296,0,458,50.88888889,67.09036145
facebook / cpc,"Tergeletak di Ruang Tamu, Sys NS Disebut Anak Kena Serangan Jantung",189,0,449,49.88888889,36.1937046
facebook / cpc,Goyangan Gempa Terasa Kuat di Perkantoran,395,23.42007435,440,1.635687732,99.75796178
